https://www.ecdc.europa.eu/en/novel-coronavirus-china/sources-updated,day,month,year,cases,deaths,countries,geoId,countryterritoryCode,popData2018,continent,Total.cases,Total.deaths
4/23/2020,23,4,2020,254,0,China,CN,CHN,1392730000,Asia,,
4/22/2020,22,4,2020,15,0,China,CN,CHN,1392730000,Asia,,
4/21/2020,21,4,2020,32,0,China,CN,CHN,1392730000,Asia,,
4/20/2020,20,4,2020,14,0,China,CN,CHN,1392730000,Asia,,
4/19/2020,19,4,2020,18,0,China,CN,CHN,1392730000,Asia,,
4/18/2020,18,4,2020,31,0,China,CN,CHN,1392730000,Asia,,
4/17/2020,17,4,2020,352,1290,China,CN,CHN,1392730000,Asia,,
4/16/2020,16,4,2020,50,0,China,CN,CHN,1392730000,Asia,,
4/15/2020,15,4,2020,49,1,China,CN,CHN,1392730000,Asia,,
4/14/2020,14,4,2020,94,0,China,CN,CHN,1392730000,Asia,,
4/13/2020,13,4,2020,112,2,China,CN,CHN,1392730000,Asia,,
4/12/2020,12,4,2020,93,0,China,CN,CHN,1392730000,Asia,,
4/11/2020,11,4,2020,79,3,China,CN,CHN,1392730000,Asia,,
4/10/2020,10,4,2020,55,1,China,CN,CHN,1392730000,Asia,,
4/9/2020,9,4,2020,86,2,China,CN,CHN,1392730000,Asia,,
4/8/2020,8,4,2020,86,2,China,CN,CHN,1392730000,Asia,,
4/7/2020,7,4,2020,56,0,China,CN,CHN,1392730000,Asia,,
4/6/2020,6,4,2020,67,2,China,CN,CHN,1392730000,Asia,,
4/5/2020,5,4,2020,48,3,China,CN,CHN,1392730000,Asia,,
4/4/2020,4,4,2020,62,4,China,CN,CHN,1392730000,Asia,,
4/3/2020,3,4,2020,70,10,China,CN,CHN,1392730000,Asia,,
4/2/2020,2,4,2020,100,6,China,CN,CHN,1392730000,Asia,,
4/1/2020,1,4,2020,54,1,China,CN,CHN,1392730000,Asia,,
3/31/2020,31,3,2020,84,3,China,CN,CHN,1392730000,Asia,,
3/30/2020,30,3,2020,98,2,China,CN,CHN,1392730000,Asia,,
3/29/2020,29,3,2020,113,5,China,CN,CHN,1392730000,Asia,,
3/28/2020,28,3,2020,119,3,China,CN,CHN,1392730000,Asia,,
3/27/2020,27,3,2020,94,5,China,CN,CHN,1392730000,Asia,,
3/26/2020,26,3,2020,102,6,China,CN,CHN,1392730000,Asia,,
3/25/2020,25,3,2020,78,4,China,CN,CHN,1392730000,Asia,,
3/24/2020,24,3,2020,69,7,China,CN,CHN,1392730000,Asia,,
3/23/2020,23,3,2020,138,9,China,CN,CHN,1392730000,Asia,,
3/22/2020,22,3,2020,65,6,China,CN,CHN,1392730000,Asia,,
3/21/2020,21,3,2020,52,6,China,CN,CHN,1392730000,Asia,,
3/20/2020,20,3,2020,99,4,China,CN,CHN,1392730000,Asia,,
3/19/2020,19,3,2020,44,8,China,CN,CHN,1392730000,Asia,,
3/18/2020,18,3,2020,23,16,China,CN,CHN,1392730000,Asia,,
3/17/2020,17,3,2020,43,9,China,CN,CHN,1392730000,Asia,,
3/16/2020,16,3,2020,25,13,China,CN,CHN,1392730000,Asia,,
3/15/2020,15,3,2020,22,9,China,CN,CHN,1392730000,Asia,,
3/14/2020,14,3,2020,19,15,China,CN,CHN,1392730000,Asia,,
3/13/2020,13,3,2020,22,7,China,CN,CHN,1392730000,Asia,,
3/12/2020,12,3,2020,24,11,China,CN,CHN,1392730000,Asia,,
3/11/2020,11,3,2020,29,22,China,CN,CHN,1392730000,Asia,,
3/10/2020,10,3,2020,20,17,China,CN,CHN,1392730000,Asia,,
3/9/2020,9,3,2020,45,23,China,CN,CHN,1392730000,Asia,,
3/8/2020,8,3,2020,46,27,China,CN,CHN,1392730000,Asia,,
3/7/2020,7,3,2020,101,28,China,CN,CHN,1392730000,Asia,,
3/6/2020,6,3,2020,170,30,China,CN,CHN,1392730000,Asia,,
3/5/2020,5,3,2020,117,31,China,CN,CHN,1392730000,Asia,,
3/4/2020,4,3,2020,119,37,China,CN,CHN,1392730000,Asia,,
3/3/2020,3,3,2020,127,32,China,CN,CHN,1392730000,Asia,,
3/2/2020,2,3,2020,205,42,China,CN,CHN,1392730000,Asia,,
3/1/2020,1,3,2020,574,35,China,CN,CHN,1392730000,Asia,,
2/29/2020,29,2,2020,428,47,China,CN,CHN,1392730000,Asia,,
2/28/2020,28,2,2020,329,44,China,CN,CHN,1392730000,Asia,,
2/27/2020,27,2,2020,439,29,China,CN,CHN,1392730000,Asia,,
2/26/2020,26,2,2020,410,52,China,CN,CHN,1392730000,Asia,,
2/25/2020,25,2,2020,515,70,China,CN,CHN,1392730000,Asia,,
2/24/2020,24,2,2020,218,150,China,CN,CHN,1392730000,Asia,,
2/23/2020,23,2,2020,647,98,China,CN,CHN,1392730000,Asia,,
2/22/2020,22,2,2020,826,109,China,CN,CHN,1392730000,Asia,,
2/21/2020,21,2,2020,891,118,China,CN,CHN,1392730000,Asia,,
2/20/2020,20,2,2020,394,112,China,CN,CHN,1392730000,Asia,,
2/19/2020,19,2,2020,1750,139,China,CN,CHN,1392730000,Asia,,
2/18/2020,18,2,2020,1890,98,China,CN,CHN,1392730000,Asia,,
2/17/2020,17,2,2020,2052,105,China,CN,CHN,1392730000,Asia,,
2/16/2020,16,2,2020,2007,142,China,CN,CHN,1392730000,Asia,,
2/15/2020,15,2,2020,2538,143,China,CN,CHN,1392730000,Asia,,
2/14/2020,14,2,2020,4156,13,China,CN,CHN,1392730000,Asia,,
2/13/2020,13,2,2020,15141,254,China,CN,CHN,1392730000,Asia,,
2/12/2020,12,2,2020,2028,97,China,CN,CHN,1392730000,Asia,,
2/11/2020,11,2,2020,2490,108,China,CN,CHN,1392730000,Asia,,
2/10/2020,10,2,2020,2974,97,China,CN,CHN,1392730000,Asia,,
2/9/2020,9,2,2020,2607,89,China,CN,CHN,1392730000,Asia,,
2/8/2020,8,2,2020,3418,86,China,CN,CHN,1392730000,Asia,,
2/7/2020,7,2,2020,3160,73,China,CN,CHN,1392730000,Asia,,
2/6/2020,6,2,2020,3727,72,China,CN,CHN,1392730000,Asia,,
2/5/2020,5,2,2020,3872,66,China,CN,CHN,1392730000,Asia,,
2/4/2020,4,2,2020,3237,65,China,CN,CHN,1392730000,Asia,,
2/3/2020,3,2,2020,2812,57,China,CN,CHN,1392730000,Asia,,
2/2/2020,2,2,2020,2590,45,China,CN,CHN,1392730000,Asia,,
2/1/2020,1,2,2020,2095,46,China,CN,CHN,1392730000,Asia,,
1/31/2020,31,1,2020,1980,43,China,CN,CHN,1392730000,Asia,,
1/30/2020,30,1,2020,1740,38,China,CN,CHN,1392730000,Asia,,
1/29/2020,29,1,2020,1466,26,China,CN,CHN,1392730000,Asia,,
1/28/2020,28,1,2020,1753,25,China,CN,CHN,1392730000,Asia,,
1/27/2020,27,1,2020,787,25,China,CN,CHN,1392730000,Asia,,
1/26/2020,26,1,2020,665,15,China,CN,CHN,1392730000,Asia,,
1/25/2020,25,1,2020,441,15,China,CN,CHN,1392730000,Asia,,
1/24/2020,24,1,2020,259,9,China,CN,CHN,1392730000,Asia,,
1/23/2020,23,1,2020,97,0,China,CN,CHN,1392730000,Asia,,
1/22/2020,22,1,2020,140,11,China,CN,CHN,1392730000,Asia,,
1/21/2020,21,1,2020,151,3,China,CN,CHN,1392730000,Asia,,
1/20/2020,20,1,2020,19,0,China,CN,CHN,1392730000,Asia,,
1/19/2020,19,1,2020,136,1,China,CN,CHN,1392730000,Asia,,
1/18/2020,18,1,2020,17,0,China,CN,CHN,1392730000,Asia,,
1/17/2020,17,1,2020,4,0,China,CN,CHN,1392730000,Asia,,
1/16/2020,16,1,2020,0,0,China,CN,CHN,1392730000,Asia,,
1/15/2020,15,1,2020,0,1,China,CN,CHN,1392730000,Asia,,
1/14/2020,14,1,2020,0,0,China,CN,CHN,1392730000,Asia,,
1/13/2020,13,1,2020,0,0,China,CN,CHN,1392730000,Asia,,
1/12/2020,12,1,2020,0,0,China,CN,CHN,1392730000,Asia,,
1/11/2020,11,1,2020,0,1,China,CN,CHN,1392730000,Asia,,
1/10/2020,10,1,2020,0,0,China,CN,CHN,1392730000,Asia,,
1/9/2020,9,1,2020,0,0,China,CN,CHN,1392730000,Asia,,
1/8/2020,8,1,2020,0,0,China,CN,CHN,1392730000,Asia,,
1/7/2020,7,1,2020,0,0,China,CN,CHN,1392730000,Asia,,
1/6/2020,6,1,2020,0,0,China,CN,CHN,1392730000,Asia,,
1/5/2020,5,1,2020,15,0,China,CN,CHN,1392730000,Asia,,
1/4/2020,4,1,2020,0,0,China,CN,CHN,1392730000,Asia,,
1/3/2020,3,1,2020,17,0,China,CN,CHN,1392730000,Asia,,
1/2/2020,2,1,2020,0,0,China,CN,CHN,1392730000,Asia,,
1/1/2020,1,1,2020,0,0,China,CN,CHN,1392730000,Asia,,
12/31/2019,31,12,2019,27,0,China,CN,CHN,1392730000,Asia,84118,4636
4/23/2020,23,4,2020,1409,41,India,IN,IND,1352617328,Asia,,
4/22/2020,22,4,2020,1384,50,India,IN,IND,1352617328,Asia,,
4/21/2020,21,4,2020,1335,47,India,IN,IND,1352617328,Asia,,
4/20/2020,20,4,2020,1553,36,India,IN,IND,1352617328,Asia,,
4/19/2020,19,4,2020,1334,27,India,IN,IND,1352617328,Asia,,
4/18/2020,18,4,2020,991,43,India,IN,IND,1352617328,Asia,,
4/17/2020,17,4,2020,1007,23,India,IN,IND,1352617328,Asia,,
4/16/2020,16,4,2020,942,37,India,IN,IND,1352617328,Asia,,
4/15/2020,15,4,2020,1075,38,India,IN,IND,1352617328,Asia,,
4/14/2020,14,4,2020,1211,31,India,IN,IND,1352617328,Asia,,
4/13/2020,13,4,2020,796,35,India,IN,IND,1352617328,Asia,,
4/12/2020,12,4,2020,909,34,India,IN,IND,1352617328,Asia,,
4/11/2020,11,4,2020,1035,40,India,IN,IND,1352617328,Asia,,
4/10/2020,10,4,2020,678,33,India,IN,IND,1352617328,Asia,,
4/9/2020,9,4,2020,540,17,India,IN,IND,1352617328,Asia,,
4/8/2020,8,4,2020,773,35,India,IN,IND,1352617328,Asia,,
4/7/2020,7,4,2020,354,5,India,IN,IND,1352617328,Asia,,
4/6/2020,6,4,2020,693,32,India,IN,IND,1352617328,Asia,,
4/5/2020,5,4,2020,472,9,India,IN,IND,1352617328,Asia,,
4/4/2020,4,4,2020,601,12,India,IN,IND,1352617328,Asia,,
4/3/2020,3,4,2020,336,6,India,IN,IND,1352617328,Asia,,
4/2/2020,2,4,2020,568,15,India,IN,IND,1352617328,Asia,,
4/1/2020,1,4,2020,146,3,India,IN,IND,1352617328,Asia,,
3/31/2020,31,3,2020,180,3,India,IN,IND,1352617328,Asia,,
3/30/2020,30,3,2020,92,4,India,IN,IND,1352617328,Asia,,
3/29/2020,29,3,2020,106,6,India,IN,IND,1352617328,Asia,,
3/28/2020,28,3,2020,149,2,India,IN,IND,1352617328,Asia,,
3/27/2020,27,3,2020,75,4,India,IN,IND,1352617328,Asia,,
3/26/2020,26,3,2020,87,4,India,IN,IND,1352617328,Asia,,
3/25/2020,25,3,2020,70,0,India,IN,IND,1352617328,Asia,,
3/24/2020,24,3,2020,53,2,India,IN,IND,1352617328,Asia,,
3/23/2020,23,3,2020,119,3,India,IN,IND,1352617328,Asia,,
3/22/2020,22,3,2020,89,0,India,IN,IND,1352617328,Asia,,
3/21/2020,21,3,2020,40,0,India,IN,IND,1352617328,Asia,,
3/20/2020,20,3,2020,26,1,India,IN,IND,1352617328,Asia,,
3/19/2020,19,3,2020,28,0,India,IN,IND,1352617328,Asia,,
3/18/2020,18,3,2020,12,0,India,IN,IND,1352617328,Asia,,
3/17/2020,17,3,2020,32,1,India,IN,IND,1352617328,Asia,,
3/16/2020,16,3,2020,3,0,India,IN,IND,1352617328,Asia,,
3/15/2020,15,3,2020,7,0,India,IN,IND,1352617328,Asia,,
3/14/2020,14,3,2020,8,1,India,IN,IND,1352617328,Asia,,
3/13/2020,13,3,2020,2,1,India,IN,IND,1352617328,Asia,,
3/12/2020,12,3,2020,23,0,India,IN,IND,1352617328,Asia,,
3/11/2020,11,3,2020,6,0,India,IN,IND,1352617328,Asia,,
3/10/2020,10,3,2020,10,0,India,IN,IND,1352617328,Asia,,
3/8/2020,8,3,2020,3,0,India,IN,IND,1352617328,Asia,,
3/7/2020,7,3,2020,2,0,India,IN,IND,1352617328,Asia,,
3/6/2020,6,3,2020,1,0,India,IN,IND,1352617328,Asia,,
3/5/2020,5,3,2020,22,0,India,IN,IND,1352617328,Asia,,
3/4/2020,4,3,2020,1,0,India,IN,IND,1352617328,Asia,,
3/3/2020,3,3,2020,2,0,India,IN,IND,1352617328,Asia,,
3/2/2020,2,3,2020,0,0,India,IN,IND,1352617328,Asia,,
3/1/2020,1,3,2020,0,0,India,IN,IND,1352617328,Asia,,
2/29/2020,29,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/28/2020,28,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/27/2020,27,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/26/2020,26,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/25/2020,25,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/24/2020,24,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/23/2020,23,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/22/2020,22,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/21/2020,21,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/20/2020,20,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/19/2020,19,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/18/2020,18,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/17/2020,17,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/16/2020,16,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/15/2020,15,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/14/2020,14,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/13/2020,13,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/12/2020,12,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/11/2020,11,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/10/2020,10,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/9/2020,9,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/8/2020,8,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/7/2020,7,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/6/2020,6,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/5/2020,5,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/4/2020,4,2,2020,1,0,India,IN,IND,1352617328,Asia,,
2/3/2020,3,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/2/2020,2,2,2020,1,0,India,IN,IND,1352617328,Asia,,
2/1/2020,1,2,2020,0,0,India,IN,IND,1352617328,Asia,,
1/31/2020,31,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/30/2020,30,1,2020,1,0,India,IN,IND,1352617328,Asia,,
1/29/2020,29,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/28/2020,28,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/27/2020,27,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/26/2020,26,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/25/2020,25,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/24/2020,24,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/23/2020,23,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/22/2020,22,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/21/2020,21,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/20/2020,20,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/19/2020,19,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/18/2020,18,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/17/2020,17,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/16/2020,16,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/15/2020,15,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/14/2020,14,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/13/2020,13,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/12/2020,12,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/11/2020,11,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/10/2020,10,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/9/2020,9,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/8/2020,8,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/7/2020,7,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/6/2020,6,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/5/2020,5,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/4/2020,4,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/3/2020,3,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/2/2020,2,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/1/2020,1,1,2020,0,0,India,IN,IND,1352617328,Asia,,
12/31/2019,31,12,2019,0,0,India,IN,IND,1352617328,Asia,21393,681
4/23/2020,23,4,2020,1194,94,Iran,IR,IRN,81800269,Asia,,
4/22/2020,22,4,2020,1297,88,Iran,IR,IRN,81800269,Asia,,
4/21/2020,21,4,2020,1294,91,Iran,IR,IRN,81800269,Asia,,
4/20/2020,20,4,2020,1343,87,Iran,IR,IRN,81800269,Asia,,
4/19/2020,19,4,2020,1374,73,Iran,IR,IRN,81800269,Asia,,
4/18/2020,18,4,2020,1499,89,Iran,IR,IRN,81800269,Asia,,
4/17/2020,17,4,2020,1606,92,Iran,IR,IRN,81800269,Asia,,
4/16/2020,16,4,2020,1512,94,Iran,IR,IRN,81800269,Asia,,
4/15/2020,15,4,2020,1574,98,Iran,IR,IRN,81800269,Asia,,
4/14/2020,14,4,2020,1617,111,Iran,IR,IRN,81800269,Asia,,
4/13/2020,13,4,2020,1657,117,Iran,IR,IRN,81800269,Asia,,
4/12/2020,12,4,2020,1837,125,Iran,IR,IRN,81800269,Asia,,
4/11/2020,11,4,2020,1972,122,Iran,IR,IRN,81800269,Asia,,
